ID,H,e,a,Perigee,i,RAAN,arg_perig,Apogee,M,period [y],MOID,condition_code,SMASS taxonomy,Spin period,Satellites,PHA,delta_v_tot,period_sin,approaches,date_approach,is_NHATS,is_geometry,n_backup,familiar,delta_H
481442 (2006 WO3),21.58,.4474476715106092,.7997129529838332,.4418832542943438,21.21636409501599,252.6081995068311,9.681447781874743,1.157542651673323,154.5805855411797,0.715170180234378,.13216,0,,,0,N,9475.908323837117,2.5108683522774053,1.0,2031-11-22,False,False,0.0,-,999.0
482718 (2013 ET9),21.10,.179959981006725,1.242298476837546,1.018734466541177,12.31761462573727,190.6533384412814,72.38078606544651,1.465862487133914,63.39985611361946,1.38467270501407,.109944,0,,,0,N,1916.4750505214563,3.599612571844481,1.0,2031-04-08,False,False,0.0,-,999.0
487577 (2014 YQ15),21.08,.2357566787085811,.963770795198033,.7365553934858166,10.91775490439362,81.82804856122861,252.3423216121971,1.19098619691025,230.9442971143519,0.946169283779273,.00224899,1,,,0,Y,1228.766514480647,17.576754503871147,2.0,2031-12-17,False,False,0.0,-,999.0
488615 (2002 SR),21.68,.1959417526973976,1.17944287060493,.9483407673321501,6.690524843513032,160.8561141531297,285.1853744593071,1.41054497387771,19.65621789674214,1.2809246008157,.0521925,0,,,0,N,2911.285790668287,4.559674008956047,1.0,2034-09-22,True,False,1.0,(2015 NJ24),0.28999999999999915
496013 (2008 EL6),21.00,.4809921962597118,1.728100516179547,.8968976535448049,13.14126137599652,177.6594488722024,38.4143865409175,2.559303378814289,93.79687646922807,2.27175609620893,.0198258,0,,,0,Y,3080.8207740390244,1.786314296413418,1.0,2033-03-16,False,False,0.0,-,999.0
496981 (2002 RP28),21.38,.3906841221204115,1.661228774656453,1.01221306918863,7.995339170949312,163.3463923230214,250.7177959187852,2.310244480124276,84.0645902386177,2.14117601489372,.107748,0,,,0,N,2885.128858876513,1.876289009713486,1.0,2032-10-09,False,False,1.0,(2006 CU),0.620000000000001
501243 (2013 VG13),21.73,.3545578555969151,1.044688128102285,.6742857456347834,7.801931821910274,156.5624101358109,24.7624354623047,1.415090510569786,354.2490665403479,1.06779575831006,.101804,0,,,0,N,3859.775885338564,15.750185334996312,2.0,2033-07-19,False,False,3.0,(2004 MO3),0.46999999999999886
513138 (2002 CY58),21.08,.3845227313148069,1.366419163293972,.8409999345032804,8.28695505100176,341.5591944085501,40.01832989149981,1.891838392084663,148.5067039975332,1.59729127160623,.0601244,0,,,0,N,3750.313752256526,2.674225034815609,1.0,2033-07-29,False,False,0.0,-,999.0
515639 (2014 MK27),21.72,.3391905338064815,1.039217512611734,.6867247697679159,8.480722252677772,69.53352137354379,349.4634901142913,1.391710255455552,159.1485294498508,1.05941931690667,.133182,1,,,0,N,3910.4676276089644,17.82954385979737,1.0,2032-08-02,False,False,3.0,433303 (2013 NX),0.370000000000001
519354 (2011 KR12),21.47,.3803936999488136,1.007823903057693,.6244540396767224,7.420549235366354,20.27314724240763,1.531923554733092,1.391193766438663,354.7000349499511,1.01177788846207,.119122,1,,,0,N,3624.8440122839147,85.90486246498531,4.0,2034-02-03,False,False,1.0,326290 Akhenaten (1998 HE3),0.35999999999999943
523605 (2004 RX10),21.49,.3512755303861627,.9198634019229799,.5967378975296652,5.95830142781967,173.596887938917,334.1166330818811,1.242988906316295,136.1924752091763,0.882253139614807,.0522728,0,,,0,N,3232.9237951732807,7.492795448886155,2.0,2033-06-26,False,False,0.0,-,999.0
523971 (1999 AJ39),21.26,.277025200585294,1.158216252701368,.8373611629756239,10.08832139039535,298.4750561075023,1.658216287177907,1.479071342427112,57.17938689005417,1.24650115311778,.162222,0,,,0,N,4141.594262540408,5.056776154398729,1.0,2034-08-03,False,False,1.0,(2016 AF193),0.639999999999997
525484 (2005 GL),21.30,.3062840655884945,1.056245899242674,.7327346109614528,15.89660199623166,43.60671923727674,265.3457034101983,1.379757187523896,278.6832362597294,1.08556480849679,.00624348,0,,,0,Y,1743.839082126734,12.687047719361358,2.0,2030-04-17,False,False,0.0,-,999.0
525498 (2005 GE60),22.12,.2458526783674359,.958853112606691,.7231165067113834,5.575248334620613,229.7150402505237,112.881751252621,1.194589718501999,163.751394465821,0.938936724391867,.0041962,0,,,0,N,594.1413458550383,15.376455243203676,1.0,2033-12-16,True,False,0.0,-,999.0
528159 (2008 HS3),21.50,.2255141795582364,1.350152232071558,1.045673759177219,8.174892555436934,227.6929964342035,5.043430711561756,1.654630704965897,166.3283154169275,1.56885320894724,.038237,0,,10.68,0,Y,540.5589472096465,2.7579227545374505,1.0,2030-04-26,True,False,0.0,-,999.0
529951 (2010 UD),21.08,.2640094005931076,1.097795047451927,.8079668350000619,26.28694937939379,23.74095140367094,262.2632970068106,1.387623259903793,130.1999644875184,1.15024433507344,.0126215,0,,,0,Y,2339.3817985998785,7.655824990081632,2.0,2033-10-13,False,False,0.0,-,999.0
533011 (2014 AY28),21.85,.2826032761106868,1.425419313810964,1.022591145896538,5.708598826258705,169.5730199321224,22.72879258275054,1.828247481725389,71.49584248946451,1.70185345538485,.0381463,0,,0.9139,0,Y,514.3256808731928,2.424798855555489,1.0,2031-04-14,False,False,0.0,-,999.0
535844 (2015 BY310),21.89,.4008079050541949,1.586939550712348,.9508816339436867,4.794506311272541,328.4102757454278,229.5279955727094,2.22299746748101,277.7012158433036,1.99916563738471,.0242851,0,,0.0926702,0,Y,2158.948631612928,2.0008350593575996,2.0,2031-02-25,False,False,0.0,-,999.0
