ID,H,e,a,Perigee,i,RAAN,arg_perig,Apogee,M,period [y],MOID,condition_code,SMASS taxonomy,Spin period,Satellites,PHA
(2015 YB1),21.4,.410614224395079,1.53885002479604,.9069763154040661,28.62349669644643,92.51441587719216,65.44233837483642,2.170723734188014,195.5343321051562,1.90898557215375,.0914362,0,,,0,N
(2015 YN1),21.15,.337994400333147,1.753294838868326,1.160691001197825,9.491232653463049,28.27472981414066,99.94241325804512,2.345898676538828,272.6372323067346,2.32161731339229,.245248,0,,,0,N
(2015 YS7),21.4,.5961191617782697,2.444976079391148,.9874789883765768,12.14520801755722,275.9681529654045,254.5389658575344,3.90247317040572,88.70900531536738,3.82313931570278,.155833,5,,,0,N
(2015 YU7),21.37,.4126269581464637,.8193662907637579,.4812736705981576,7.192750399344322,254.0155616993788,44.26098520207193,1.157458910929358,72.19234172264848,0.741694983298368,.00576286,0,,12.221,0,Y
(2015 YX7),21.82,.6052709120015876,2.455917564416676,.9694221004014768,4.029036129909757,148.4074536569418,265.879746687367,3.942413028431875,113.2354173326841,3.84883133754283,.0621364,5,,,0,N
(2015 YY9),22.0,.5643489707085156,1.864481920346067,.8122634676941275,8.286728448495328,78.11802917411082,300.0958331227932,2.916700372998007,23.08137568912539,2.54592418629766,.00197847,8,,,0,Y
(2015 YZ9),21.39,.547518021887449,1.737834492699899,.7863387888890716,7.345065904734245,25.69904004470176,341.7054556317258,2.689330196510725,335.5999892896415,2.2909774876214,.0879957,7,,,0,N
(2015 YV20),22.37,.2399163019831881,1.255473810838807,.9542651769056198,7.920553593296056,49.0115406560537,136.7638932207551,1.556682444771994,31.13124948860194,1.40675895660536,.0005531,0,,,0,N
(2016 AK2),21.88,.2380888058355726,1.46496919557145,1.116176429211944,26.24379207489063,97.14155398571678,10.4641717007246,1.813761961930956,356.8773784437017,1.77317231262461,.135996,8,,,0,N
(2016 AJ8),21.9,.6194823396106811,2.572056459837423,.9787129064865704,7.916445098173458,60.62996588922379,93.04753814445142,4.165400013188275,40.60891565719421,4.12504745186079,.122647,0,,,0,N
(2016 AK8),21.14,.186696595456991,1.447759551187399,1.17746777194037,23.1042313124053,251.5791231646074,200.4412158444078,1.718051330434428,9.608762807749669,1.74201889127261,.202364,0,,,0,N
(2016 AZ8),21.07,.3551956107177262,1.321053428088215,.8518210489076754,5.585976095027883,89.9913952947291,318.5718416202137,1.790285807268754,318.1501409742239,1.51840902296455,.0293322,0,,16.897,1,Y
(2016 AF9),22.2,.902242818707697,2.5076530035775,.2451410892889139,22.64832290522833,97.17186121445704,224.3217456457048,4.770164917866086,12.6229432639609,3.97108664940877,.064472,8,,,0,N
(2016 AM9),21.48,.1341796041897772,1.42671684405771,1.235280542631158,29.55780371052175,99.43311486271027,286.7902110586856,1.618153145484261,114.7516019998285,1.70417772806477,.351873,7,,,0,N
(2016 AO9),22.3,.5091267467979269,1.147905306707682,.5634760122715234,26.98533370636146,290.9089544995995,47.86997687506277,1.732334601143841,73.4984587624229,1.22989290929898,.170443,8,,,0,N
(2016 AA65),22.43,.3401169506503299,1.70701743586947,1.126431870874601,1.225480288075398,178.9636921821644,341.3200918781638,2.287603000864339,305.9350236753316,2.23030951890259,.137088,0,,,0,N
(2016 AC65),21.8,.7289474587727829,1.628824701052543,.4414970744339539,10.57582357416399,282.1726358767771,59.22388636346682,2.816152327671131,119.8967938338036,2.07883357481516,.0397971,2,,,0,Y
(2016 AF65),22.1,.3743430970193103,1.645648356807175,1.029611254315238,9.924155170766312,295.6762417795342,134.0968400919286,2.261685459299112,74.88825881947656,2.11112409711323,.0968623,1,,,0,N
(2016 AM65),21.6,.3514914929790205,1.649012358554435,1.069398542705281,22.05495901051939,98.28768933392053,49.71251592827329,2.228626174403589,21.54994880414312,2.11760068116501,.169592,6,,,0,N
(2016 AZ65),21.98,.1373376136985415,1.113678856734842,.9607288601243587,8.823176150780494,268.8520225567509,350.8899794448222,1.266628853345324,28.33605548616368,1.1752984521947,.0523734,0,,,0,N
(2016 AL131),22.2,.4764319323588981,2.347609902560708,1.229133580258825,13.1407635032395,126.6614650891507,313.1335639461389,3.466086224862591,169.2039084107131,3.59705519093476,.291989,6,,,0,N
